Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Squall,Thunderstorm
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False
